Player,Team,PTS.G,CareerYear_index,poscomp_rookie,poscomp_soph,CareerYear_c,Season_c,AST.G_c,MP.G_c,TS_c,USG_c,Team_Pace_c,poscomp_rookie_c,poscomp_soph_c,Pos
John Wall,WAS,16.4,1,1,0,-1.40756461,-1.996028587,2.920314205,1.627991776,-1.009964555,0.471799112,-0.84137807,-1.267341261,-0.929047312,PG
John Wall,WAS,16.3,2,1,0,-0.68111447,-1.707822786,2.771154996,1.414033841,-0.853169597,0.659692362,-1.20414056,-1.267341261,-0.929047312,PG
John Wall,WAS,18.5,3,1,0,0.04533567,-1.419616985,2.572276051,0.94600086,-0.48078157,1.467633335,-1.315759787,-1.267341261,-0.929047312,PG
John Wall,WAS,19.3,4,1,0,0.77178581,-1.131411184,3.168912887,1.427406212,-0.42198346,1.110636161,-1.021209048,-1.267341261,-0.929047312,PG
John Wall,WAS,17.6,5,1,0,1.49823595,-0.843205383,3.765549724,1.373916729,-0.44158283,0.847585611,-0.987103173,-1.267341261,-0.929047312,PG
Evan Turner,PHI,7.2,1,2,1,-1.40756461,-1.996028587,-0.212029188,-0.351119118,-1.205958254,-0.82466431,-1.455283821,-1.267341261,-0.929047312,SG
Evan Turner,PHI,9.4,2,2,1,-0.68111447,-1.707822786,0.185728703,0.103541493,-1.323554473,-0.204616586,-2.106395981,-1.267341261,-0.929047312,SF
Evan Turner,PHI,13.3,3,2,1,0.04533567,-1.419616985,0.931524749,1.293682503,-1.323554473,0.020855313,-1.73433189,-1.267341261,-0.929047312,SF
Evan Turner,PHI,17.4,4,2,1,0.77178581,-1.131411184,0.633206331,1.24019302,-0.931567076,0.396641812,0.702687909,-1.267341261,-0.929047312,SF
Evan Turner,IND,7.1,4,2,1,0.77178581,-1.131411184,-0.013150242,-0.605194165,-0.931567076,0.396641812,-1.421177946,-1.267341261,-0.929047312,SF
Evan Turner,BOS,9.5,5,2,1,1.49823595,-0.843205383,1.528161586,0.264009944,-1.245156993,-0.279773886,-0.236773922,-1.267341261,-0.929047312,SG
Wesley Johnson,MIN,9,1,0,2,-1.40756461,-1.996028587,-0.261748924,0.076796751,-1.068762665,-0.805874985,0.005067738,0.441918596,-0.929047312,SG
Wesley Johnson,MIN,6,2,0,2,-0.68111447,-1.707822786,-0.758946288,-0.404608601,-1.343153843,-1.256818784,-0.940595161,0.441918596,-0.929047312,SF
Wesley Johnson,PHO,8,3,0,2,0.04533567,-1.419616985,-0.858385761,-0.872641583,-1.186358884,-0.035512662,-0.928193025,0.441918596,-0.929047312,SF
Wesley Johnson,LAL,9.1,4,0,2,0.77178581,-1.131411184,-0.410908134,0.370988911,-0.4611822,-1.106504184,0.696486841,0.441918596,-0.929047312,SF
Wesley Johnson,LAL,9.9,5,0,2,1.49823595,-0.843205383,-0.410908134,0.518084991,-0.715974008,-0.881032285,-0.75766365,0.441918596,-0.929047312,SF
DeMarcus Cousins,SAC,14.1,1,1,0,-1.40756461,-1.996028587,0.036569494,0.384361282,-1.205958254,1.167004136,-0.531324661,-0.412711333,-0.929047312,C
DeMarcus Cousins,SAC,18.1,2,1,0,-0.68111447,-1.707822786,-0.410908134,0.6518087,-0.911967706,1.467633335,-0.593335343,-0.412711333,-0.929047312,C
DeMarcus Cousins,SAC,17.1,3,1,0,0.04533567,-1.419616985,0.136008967,0.6518087,-0.42198346,1.317318735,-0.875483945,-0.412711333,-0.929047312,C
DeMarcus Cousins,SAC,22.7,4,1,0,0.77178581,-1.131411184,0.23544844,0.905883747,0.185597004,2.162838359,-0.754563116,-0.412711333,-0.929047312,C
DeMarcus Cousins,SAC,24.1,5,1,0,1.49823595,-0.843205383,0.583486594,1.133214052,-0.010396694,2.369520933,-0.407303297,-0.412711333,-0.929047312,C
Greg Monroe,DET,9.4,1,1,0,-1.40756461,-1.996028587,-0.560067343,0.290754686,0.577584401,-1.031346885,-2.382343516,-1.267341261,-0.929047312,C
Greg Monroe,DET,15.4,2,1,0,-0.68111447,-1.707822786,-0.062869979,0.785532409,0.342391963,0.453009787,-2.221115743,-1.267341261,-0.929047312,C
Greg Monroe,DET,16,3,1,0,0.04533567,-1.419616985,0.533766858,1.012862714,-0.363185351,0.678481687,-1.796342572,-1.267341261,-0.929047312,C
Greg Monroe,DET,15.2,4,1,0,0.77178581,-1.131411184,-0.162309452,0.959373231,-0.284787872,0.058433963,-0.590234809,-1.267341261,-0.929047312,PF
Greg Monroe,DET,15.9,5,1,0,1.49823595,-0.843205383,-0.162309452,0.718670554,0.068000785,0.490588437,-1.176235753,-1.267341261,-0.929047312,PF
Gordon Hayward,UTA,5.4,1,2,1,-1.40756461,-1.996028587,-0.659506816,-1.166833743,0.636382511,-1.106504184,-1.687823879,1.296548525,-0.099804817,SF
Gordon Hayward,UTA,11.8,2,2,1,-0.68111447,-1.707822786,0.334887912,0.6518087,0.440388812,-0.617981736,-1.532797174,1.296548525,-0.099804817,SF
Gordon Hayward,UTA,14.1,3,2,1,0.04533567,-1.419616985,0.285168176,0.477967878,0.361991333,0.058433963,-1.68162281,1.296548525,-0.099804817,SF
Gordon Hayward,UTA,16.2,4,2,1,0.77178581,-1.131411184,1.379002377,1.440778583,-0.50038094,0.359063162,-1.59790839,1.296548525,-0.099804817,SF
